

  TLevel   Time         dt      Iter  ItCum

     1  .50000E-03  .50000E-03    6      6
     2  .10000E-02  .50000E-03    4     10
     3  .15000E-02  .50000E-03    4     14
     4  .20000E-02  .50000E-03    3     17
     5  .25499E-02  .54986E-03    3     20
     6  .31547E-02  .60488E-03    3     23
     7  .38202E-02  .66545E-03    3     26
     8  .45521E-02  .73195E-03    3     29
     9  .53575E-02  .80538E-03    3     32
    10  .62432E-02  .88570E-03    3     35
    11  .72175E-02  .97427E-03    3     38
    12  .82896E-02  .10721E-02    3     41
    13  .94688E-02  .11792E-02    3     44
    14  .10765E-01  .12965E-02    3     47
    15  .12193E-01  .14275E-02    3     50
    16  .13763E-01  .15704E-02    3     53
    17  .15490E-01  .17272E-02    4     57
    18  .17218E-01  .17272E-02    4     61
    19  .18945E-01  .17272E-02    4     65
    20  .20672E-01  .17272E-02    4     69
    21  .22399E-01  .17272E-02    4     73
    22  .24126E-01  .17272E-02    5     78
    23  .25854E-01  .17272E-02    6     84
    24  .27581E-01  .17272E-02    5     89
    25  .29308E-01  .17272E-02    5     94
    26  .31035E-01  .17272E-02    5     99
    27  .32763E-01  .17272E-02    5    104
    28  .34490E-01  .17272E-02    5    109
    29  .36217E-01  .17272E-02    4    113
    30  .37944E-01  .17272E-02    4    117
    31  .39671E-01  .17272E-02    4    121
    32  .41399E-01  .17272E-02    4    125
    33  .43126E-01  .17272E-02    5    130
    34  .44853E-01  .17272E-02    5    135
    35  .46580E-01  .17272E-02    5    140
    36  .48307E-01  .17272E-02    4    144
    37  .50035E-01  .17272E-02    4    148
    38  .51762E-01  .17272E-02    4    152
    39  .53489E-01  .17272E-02    4    156
    40  .55216E-01  .17272E-02    5    161
    41  .56943E-01  .17272E-02    4    165
    42  .58671E-01  .17272E-02    4    169
    43  .60398E-01  .17272E-02    4    173
    44  .62125E-01  .17272E-02    5    178
    45  .63852E-01  .17272E-02    4    182
    46  .65580E-01  .17272E-02    3    185
    47  .67479E-01  .18992E-02    3    188
    48  .69570E-01  .20909E-02    3    191
    49  .71867E-01  .22974E-02    3    194
    50  .74396E-01  .25290E-02    3    197
    51  .77176E-01  .27796E-02    4    201
    52  .79955E-01  .27796E-02    4    205
    53  .82735E-01  .27796E-02    4    209
    54  .85514E-01  .27796E-02    4    213
    55  .88294E-01  .27796E-02    4    217
    56  .91073E-01  .27796E-02    4    221
    57  .93853E-01  .27796E-02    4    225
    58  .96633E-01  .27796E-02    5    230
    59  .99412E-01  .27796E-02    3    233
    60  .10247E+00  .30528E-02    4    237
    61  .10552E+00  .30528E-02    4    241
    62  .10857E+00  .30528E-02    4    245
    63  .11162E+00  .30528E-02    4    249
    64  .11468E+00  .30528E-02    4    253
    65  .11773E+00  .30528E-02    4    257
    66  .12078E+00  .30528E-02    4    261
    67  .12383E+00  .30528E-02    3    264
    68  .12720E+00  .33699E-02    4    268
    69  .13057E+00  .33699E-02    4    272
    70  .13394E+00  .33699E-02    5    277
    71  .13731E+00  .33699E-02    4    281
    72  .14068E+00  .33699E-02    4    285
    73  .14405E+00  .33699E-02    4    289
    74  .14742E+00  .33699E-02    5    294
    75  .15079E+00  .33699E-02    4    298
    76  .15416E+00  .33699E-02    4    302
    77  .15753E+00  .33699E-02    5    307
    78  .16090E+00  .33699E-02    4    311
    79  .16427E+00  .33699E-02    4    315
    80  .16764E+00  .33699E-02    4    319
    81  .17101E+00  .33699E-02    4    323
    82  .17438E+00  .33699E-02    3    326
    83  .17809E+00  .37023E-02    3    329
    84  .18215E+00  .40689E-02    3    332
    85  .18662E+00  .44691E-02    4    336
    86  .19109E+00  .44691E-02    4    340
    87  .19556E+00  .44691E-02    4    344
    88  .20003E+00  .44691E-02    5    349
    89  .20450E+00  .44691E-02    3    352
    90  .20941E+00  .49105E-02    3    355
    91  .21483E+00  .54150E-02    3    358
    92  .22077E+00  .59483E-02    3    361
    93  .22732E+00  .65481E-02    3    364
    94  .23454E+00  .72213E-02    3    367
    95  .24243E+00  .78913E-02    4    371
    96  .25033E+00  .78913E-02    4    375
    97  .25822E+00  .78913E-02    4    379
    98  .26611E+00  .78913E-02    4    383
    99  .27400E+00  .78913E-02    4    387
   100  .28189E+00  .78913E-02    4    391
   101  .28978E+00  .78913E-02    4    395
   102  .29767E+00  .78913E-02    4    399
   103  .30556E+00  .78913E-02    4    403
   104  .31346E+00  .78913E-02    4    407
   105  .32135E+00  .78913E-02    4    411
   106  .32924E+00  .78913E-02    4    415
   107  .33713E+00  .78913E-02    4    419
   108  .34502E+00  .78913E-02    4    423
   109  .35291E+00  .78913E-02    4    427
   110  .36080E+00  .78913E-02    4    431
   111  .36869E+00  .78913E-02    4    435
   112  .37659E+00  .78913E-02    4    439
   113  .38448E+00  .78913E-02    4    443
   114  .39237E+00  .78913E-02    4    447
   115  .40026E+00  .78913E-02    4    451
   116  .40815E+00  .78913E-02    3    454
   117  .41686E+00  .87037E-02    3    457
   118  .42641E+00  .95598E-02    3    460
   119  .43704E+00  .10622E-01    4    464
   120  .44766E+00  .10622E-01    4    468
   121  .45828E+00  .10622E-01    4    472
   122  .46890E+00  .10622E-01    4    476
   123  .47952E+00  .10622E-01    4    480
   124  .49015E+00  .10622E-01    3    483
   125  .50173E+00  .11588E-01    4    487
   126  .51332E+00  .11588E-01    4    491
   127  .52491E+00  .11588E-01    4    495
   128  .53650E+00  .11588E-01    4    499
   129  .54808E+00  .11588E-01    4    503
   130  .55967E+00  .11588E-01    4    507
   131  .57126E+00  .11588E-01    4    511
   132  .58285E+00  .11588E-01    4    515
   133  .59443E+00  .11588E-01    4    519
   134  .60602E+00  .11588E-01    4    523
   135  .61761E+00  .11588E-01    4    527
   136  .62920E+00  .11588E-01    4    531
   137  .64078E+00  .11588E-01    4    535
   138  .65237E+00  .11588E-01    4    539
   139  .66396E+00  .11588E-01    4    543
   140  .67555E+00  .11588E-01    4    547
   141  .68714E+00  .11588E-01    4    551
   142  .69872E+00  .11588E-01    4    555
   143  .71031E+00  .11588E-01    4    559
   144  .72190E+00  .11588E-01    3    562
   145  .73454E+00  .12641E-01    3    565
   146  .74851E+00  .13972E-01    4    569
