 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  20. 2.    Time:   4:35:34
 Time independent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0005   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.178E+03   .000E+00   .000E+00   .000E+00
         .0010   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.171E+03   .000E+00   .000E+00   .000E+00
         .0015   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.167E+03   .000E+00   .000E+00   .000E+00
         .0020   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.164E+03   .000E+00   .000E+00   .000E+00
         .0025   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.161E+03   .000E+00   .000E+00   .000E+00
         .0032   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.159E+03   .000E+00   .000E+00   .000E+00
         .0038   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .000E+00   .000E+00   .000E+00
         .0046   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+03   .000E+00   .000E+00   .000E+00
         .0054   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.154E+03   .000E+00   .000E+00   .000E+00
         .0062   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.153E+03   .000E+00   .000E+00   .000E+00
         .0072   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.152E+03   .000E+00   .000E+00   .000E+00
         .0083   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.151E+03   .000E+00   .000E+00   .000E+00
         .0095   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.150E+03   .000E+00   .000E+00   .000E+00
         .0108   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.150E+03   .000E+00   .000E+00   .000E+00
         .0122   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.149E+03   .000E+00   .000E+00   .000E+00
         .0138   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.150E+03   .000E+00   .000E+00   .000E+00
         .0155   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.151E+03   .000E+00   .000E+00   .000E+00
         .0172   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.153E+03   .000E+00   .000E+00   .000E+00
         .0189   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.155E+03   .000E+00   .000E+00   .000E+00
