 Tension permeameter infiltration test - loam - multistep                
 
 Program HYDRUS2
 Date:   2. 3.    Time:  11: 2:51
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = -    

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .010   .275    .292E-01    .225E+01    .144E-02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .2750   -.100E-01  -.2000E+01   .3576E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.111E-01  -.1957E+01   .4054E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.122E-01  -.1913E+01   .4596E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.135E-01  -.1870E+01   .5210E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.149E-01  -.1826E+01   .5906E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.165E-01  -.1783E+01   .6696E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.182E-01  -.1739E+01   .7590E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.201E-01  -.1696E+01   .8605E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.223E-01  -.1652E+01   .9754E-06   .1440E-02  -.2842E+01    1.0000
   .2750   -.246E-01  -.1609E+01   .1106E-05   .1440E-02  -.2842E+01    1.0000
   .2750   -.272E-01  -.1566E+01   .1254E-05   .1440E-02  -.2842E+01    1.0000
   .2750   -.301E-01  -.1522E+01   .1421E-05   .1440E-02  -.2842E+01    1.0000
   .2750   -.332E-01  -.1479E+01   .1611E-05   .1440E-02  -.2842E+01    1.0000
   .2750   -.367E-01  -.1435E+01   .1826E-05   .1440E-02  -.2842E+01    1.0000
   .2750   -.406E-01  -.1392E+01   .2070E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.448E-01  -.1348E+01   .2347E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.496E-01  -.1305E+01   .2661E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.548E-01  -.1261E+01   .3016E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.605E-01  -.1218E+01   .3419E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.669E-01  -.1175E+01   .3876E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.739E-01  -.1131E+01   .4394E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.817E-01  -.1088E+01   .4981E-05   .1439E-02  -.2842E+01    1.0000
   .2750   -.903E-01  -.1044E+01   .5647E-05   .1438E-02  -.2842E+01    1.0000
   .2750   -.998E-01  -.1001E+01   .6402E-05   .1438E-02  -.2842E+01    1.0000
   .2750   -.110E+00  -.9573E+00   .7257E-05   .1438E-02  -.2842E+01    1.0000
   .2750   -.122E+00  -.9139E+00   .8227E-05   .1438E-02  -.2842E+01    1.0000
   .2750   -.135E+00  -.8704E+00   .9326E-05   .1437E-02  -.2842E+01    1.0000
   .2750   -.149E+00  -.8270E+00   .1057E-04   .1437E-02  -.2843E+01    1.0000
   .2750   -.165E+00  -.7835E+00   .1199E-04   .1437E-02  -.2843E+01    1.0000
   .2750   -.182E+00  -.7401E+00   .1359E-04   .1436E-02  -.2843E+01    1.0000
   .2750   -.201E+00  -.6967E+00   .1540E-04   .1436E-02  -.2843E+01    1.0000
   .2750   -.222E+00  -.6532E+00   .1746E-04   .1435E-02  -.2843E+01    1.0000
   .2750   -.246E+00  -.6098E+00   .1979E-04   .1434E-02  -.2843E+01    1.0000
   .2750   -.271E+00  -.5663E+00   .2244E-04   .1433E-02  -.2844E+01    1.0000
   .2750   -.300E+00  -.5229E+00   .2544E-04   .1433E-02  -.2844E+01    1.0000
   .2750   -.332E+00  -.4794E+00   .2884E-04   .1432E-02  -.2844E+01    1.0000
   .2750   -.366E+00  -.4360E+00   .3269E-04   .1430E-02  -.2845E+01    1.0000
   .2750   -.405E+00  -.3925E+00   .3706E-04   .1429E-02  -.2845E+01    1.0000
   .2750   -.448E+00  -.3491E+00   .4201E-04   .1428E-02  -.2845E+01    1.0000
   .2750   -.495E+00  -.3057E+00   .4762E-04   .1426E-02  -.2846E+01    1.0000
   .2750   -.547E+00  -.2622E+00   .5398E-04   .1424E-02  -.2846E+01    1.0000
   .2750   -.604E+00  -.2188E+00   .6119E-04   .1422E-02  -.2847E+01     .9999
   .2750   -.668E+00  -.1753E+00   .6937E-04   .1419E-02  -.2848E+01     .9999
   .2750   -.738E+00  -.1319E+00   .7863E-04   .1417E-02  -.2849E+01     .9999
   .2750   -.816E+00  -.8843E-01   .8914E-04   .1414E-02  -.2850E+01     .9999
   .2750   -.902E+00  -.4499E-01   .1010E-03   .1410E-02  -.2851E+01     .9998
   .2749   -.996E+00  -.1542E-02   .1145E-03   .1406E-02  -.2852E+01     .9998
   .2749   -.110E+01   .4190E-01   .1298E-03   .1402E-02  -.2853E+01     .9998
   .2749   -.122E+01   .8535E-01   .1471E-03   .1396E-02  -.2855E+01     .9997
   .2749   -.135E+01   .1288E+00   .1668E-03   .1391E-02  -.2857E+01     .9996
   .2749   -.149E+01   .1722E+00   .1890E-03   .1384E-02  -.2859E+01     .9995
   .2748   -.164E+01   .2157E+00   .2142E-03   .1377E-02  -.2861E+01     .9994
   .2748   -.182E+01   .2591E+00   .2427E-03   .1368E-02  -.2864E+01     .9993
   .2748   -.201E+01   .3026E+00   .2750E-03   .1359E-02  -.2867E+01     .9991
   .2747   -.222E+01   .3460E+00   .3115E-03   .1348E-02  -.2870E+01     .9988
   .2746   -.245E+01   .3895E+00   .3529E-03   .1336E-02  -.2874E+01     .9985
   .2745   -.271E+01   .4329E+00   .3996E-03   .1322E-02  -.2879E+01     .9982
   .2744   -.299E+01   .4764E+00   .4525E-03   .1307E-02  -.2884E+01     .9977
   .2742   -.331E+01   .5198E+00   .5121E-03   .1289E-02  -.2890E+01     .9972
   .2741   -.366E+01   .5632E+00   .5794E-03   .1270E-02  -.2896E+01     .9964
   .2738   -.404E+01   .6067E+00   .6551E-03   .1248E-02  -.2904E+01     .9955
   .2735   -.447E+01   .6501E+00   .7403E-03   .1223E-02  -.2913E+01     .9944
   .2731   -.494E+01   .6936E+00   .8360E-03   .1195E-02  -.2923E+01     .9930
   .2727   -.546E+01   .7370E+00   .9430E-03   .1164E-02  -.2934E+01     .9913
   .2721   -.603E+01   .7805E+00   .1063E-02   .1130E-02  -.2947E+01     .9891
   .2714   -.667E+01   .8239E+00   .1195E-02   .1091E-02  -.2962E+01     .9864
   .2705   -.737E+01   .8674E+00   .1342E-02   .1049E-02  -.2979E+01     .9830
   .2694   -.814E+01   .9108E+00   .1504E-02   .1002E-02  -.2999E+01     .9789
   .2680   -.900E+01   .9542E+00   .1680E-02   .9511E-03  -.3022E+01     .9737
   .2664   -.995E+01   .9977E+00   .1870E-02   .8955E-03  -.3048E+01     .9674
   .2643   -.110E+02   .1041E+01   .2072E-02   .8356E-03  -.3078E+01     .9596
   .2618   -.122E+02   .1085E+01   .2284E-02   .7716E-03  -.3113E+01     .9501
   .2587   -.134E+02   .1128E+01   .2502E-02   .7042E-03  -.3152E+01     .9385
   .2550   -.148E+02   .1171E+01   .2721E-02   .6339E-03  -.3198E+01     .9246
   .2506   -.164E+02   .1215E+01   .2931E-02   .5621E-03  -.3250E+01     .9079
   .2454   -.181E+02   .1258E+01   .3125E-02   .4899E-03  -.3310E+01     .8882
   .2392   -.200E+02   .1302E+01   .3290E-02   .4189E-03  -.3378E+01     .8651
   .2322   -.221E+02   .1345E+01   .3417E-02   .3507E-03  -.3455E+01     .8384
   .2241   -.245E+02   .1389E+01   .3493E-02   .2871E-03  -.3542E+01     .8080
   .2151   -.270E+02   .1432E+01   .3510E-02   .2294E-03  -.3639E+01     .7739
   .2051   -.299E+02   .1476E+01   .3463E-02   .1787E-03  -.3748E+01     .7364
   .1944   -.330E+02   .1519E+01   .3351E-02   .1357E-03  -.3867E+01     .6959
   .1830   -.365E+02   .1562E+01   .3180E-02   .1004E-03  -.3998E+01     .6530
   .1713   -.404E+02   .1606E+01   .2959E-02   .7247E-04  -.4140E+01     .6085
   .1592   -.446E+02   .1649E+01   .2701E-02   .5103E-04  -.4292E+01     .5632
   .1472   -.493E+02   .1693E+01   .2421E-02   .3514E-04  -.4454E+01     .5178
   .1354   -.545E+02   .1736E+01   .2134E-02   .2369E-04  -.4625E+01     .4733
   .1240   -.602E+02   .1780E+01   .1853E-02   .1568E-04  -.4805E+01     .4303
   .1131   -.665E+02   .1823E+01   .1587E-02   .1021E-04  -.4991E+01     .3892
   .1029   -.735E+02   .1867E+01   .1343E-02   .6550E-05  -.5184E+01     .3506
   .0934   -.813E+02   .1910E+01   .1125E-02   .4151E-05  -.5382E+01     .3147
   .0846   -.898E+02   .1953E+01   .9347E-03   .2604E-05  -.5584E+01     .2816
   .0766   -.993E+02   .1997E+01   .7707E-03   .1619E-05  -.5791E+01     .2513
   .0693   -.110E+03   .2040E+01   .6316E-03   .9998E-06  -.6000E+01     .2238
   .0627   -.121E+03   .2084E+01   .5150E-03   .6136E-06  -.6212E+01     .1989
   .0568   -.134E+03   .2127E+01   .4183E-03   .3747E-06  -.6426E+01     .1766
   .0515   -.148E+03   .2171E+01   .3385E-03   .2279E-06  -.6642E+01     .1565
   .0467   -.164E+03   .2214E+01   .2733E-03   .1382E-06  -.6860E+01     .1386
   .0425   -.181E+03   .2258E+01   .2201E-03   .8357E-07  -.7078E+01     .1227
   .0388   -.200E+03   .2301E+01   .1769E-03   .5043E-07  -.7297E+01     .1085
end
