 Tension permeameter infiltration test - loam - multistep                
 
 Program HYDRUS2
 Date:   2. 3.    Time:  11: 2:51
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = -    
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .1000   .000E+00   .000E+00   .000E+00   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .118E+00
         .2000   .000E+00   .000E+00   .000E+00   .000E+00  -.298E+02   .000E+00   .000E+00   .000E+00   .236E+00
         .3298   .000E+00   .000E+00   .000E+00   .000E+00  -.309E+02   .000E+00   .000E+00   .000E+00   .390E+00
         .4984   .000E+00   .000E+00   .000E+00   .000E+00  -.323E+02   .000E+00   .000E+00   .000E+00   .589E+00
         .7182   .000E+00   .000E+00   .000E+00   .000E+00  -.340E+02   .000E+00   .000E+00   .000E+00   .848E+00
        1.0038   .000E+00   .000E+00   .000E+00   .000E+00  -.362E+02   .000E+00   .000E+00   .000E+00   .119E+01
        1.3721   .000E+00   .000E+00   .000E+00   .000E+00  -.389E+02   .000E+00   .000E+00   .000E+00   .162E+01
        1.8588   .000E+00   .000E+00   .000E+00   .000E+00  -.423E+02   .000E+00   .000E+00   .000E+00   .220E+01
        2.4846   .000E+00   .000E+00   .000E+00   .000E+00  -.464E+02   .000E+00   .000E+00   .000E+00   .293E+01
        3.3190   .000E+00   .000E+00   .000E+00   .000E+00  -.515E+02   .000E+00   .000E+00   .000E+00   .392E+01
        4.3809   .000E+00   .000E+00   .000E+00   .000E+00  -.575E+02   .000E+00   .000E+00   .000E+00   .517E+01
        5.7083   .000E+00   .000E+00   .000E+00   .000E+00  -.643E+02   .000E+00   .000E+00   .000E+00   .674E+01
        7.5666   .000E+00   .000E+00   .000E+00   .000E+00  -.730E+02   .000E+00   .000E+00   .000E+00   .894E+01
       10.0444   .000E+00   .000E+00   .000E+00   .000E+00  -.833E+02   .000E+00   .000E+00   .000E+00   .119E+02
       12.5222   .000E+00   .000E+00   .000E+00   .000E+00  -.929E+02   .000E+00   .000E+00   .000E+00   .148E+02
       15.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.102E+03   .000E+00   .000E+00   .000E+00   .177E+02
       18.7500   .000E+00   .000E+00   .000E+00   .000E+00  -.114E+03   .000E+00   .000E+00   .000E+00   .221E+02
       22.5000   .000E+00   .000E+00   .000E+00   .000E+00  -.126E+03   .000E+00   .000E+00   .000E+00   .266E+02
       30.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.147E+03   .000E+00   .000E+00   .000E+00   .354E+02
       35.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.161E+03   .000E+00   .000E+00   .000E+00   .413E+02
       40.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.174E+03   .000E+00   .000E+00   .000E+00   .472E+02
