 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Tension Permeameter - Rafael Angulo - Sahel Data                      *
 *Cumulative infiltration - final water content                         *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 50
 NO. OF OBSERVATIONS.................(NOBb)............. 223


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .010
 SATURATED MOISTURE CONTENT..........(WCS)............      .280
 FIRST COEFFICIENT...................(ALPHA)..........      .070
 SECOND COEFFICIENT..................(N)..............     1.900
 SATURATED CONDUCTIVITY..............(CONDS).......... .3000E-02
 PORE CONECTIVITY FACTOR.............(L)..............      .500


 Observed QUANTITY 
 ==================
    Obs     Time    QUANTITY     Type  Position   Weight
     1     15.000    -44.349       0     3       .000022
     2     30.000    -90.809       0     3       .000022
     3     45.000   -137.269       0     3       .000022
     4     60.000   -173.171       0     3       .000022
     5     75.000   -209.072       0     3       .000022
     6     90.000   -238.638       0     3       .000022
     7    105.000   -268.203       0     3       .000022
     8    120.000   -293.545       0     3       .000022
     9    150.000   -346.341       0     3       .000022
    10    180.000   -397.025       0     3       .000022
    11    210.000   -447.710       0     3       .000022
    12    240.000   -496.282       0     3       .000022
    13    270.000   -544.854       0     3       .000022
    14    300.000   -593.426       0     3       .000022
    15    330.000   -638.831       0     3       .000022
    16    360.000   -686.347       0     3       .000022
    17    390.000   -795.107       0     3       .000022
    18    420.000   -776.100       0     3       .000022
    19    450.000   -820.449       0     3       .000022
    20    480.000   -865.853       0     3       .000022
    21    510.000   -910.202       0     3       .000022
    22    540.000   -954.551       0     3       .000022
    23    570.000   -997.843       0     3       .000022
    24    600.000  -1043.250       0     3       .000022
    25    630.000  -1084.430       0     3       .000022
    26    660.000  -1125.610       0     3       .000022
    27    690.000  -1173.130       0     3       .000022
    28    720.000  -1215.360       0     3       .000022
    29    780.000  -1300.890       0     3       .000022
    30    840.000  -1388.530       0     3       .000022
    31   1080.000  -1388.530       0     3       .000022
    32   1110.000  -1442.390       0     3       .000022
    33   1140.000  -1485.680       0     3       .000022
    34   1170.000  -1527.910       0     3       .000022
    35   1200.000  -1565.930       0     3       .000022
    36   1230.000  -1606.050       0     3       .000022
    37   1260.000  -1645.120       0     3       .000022
    38   1290.000  -1684.190       0     3       .000022
    39   1320.000  -1722.200       0     3       .000022
    40   1380.000  -1798.230       0     3       .000022
    41   1440.000  -1874.260       0     3       .000022
    42   1500.000  -1951.340       0     3       .000022
    43   1560.000  -2029.480       0     3       .000022
    44   1620.000  -2105.500       0     3       .000022
    45   1680.000  -2181.530       0     3       .000022
    46   1740.000  -2258.610       0     3       .000022
    47   1800.000  -2335.690       0     3       .000022
    48   1860.000  -2412.770       0     3       .000022
    49   1920.000  -2493.020       0     3       .000022
    50   1980.000  -2566.940       0     3       .000022
    51   2040.000  -2645.080       0     3       .000022
    52   2100.000  -2718.990       0     3       .000022
    53   2220.000  -2869.990       0     3       .000022
    54   2250.000  -2910.110       0     3       .000022
    55   2430.000  -2910.110       0     3       .000022
    56   2440.000  -2922.780       0     3       .000022
    57   2450.000  -2969.240       0     3       .000022
    58   2460.000  -2994.590       0     3       .000022
    59   2470.000  -3016.760       0     3       .000022
    60   2480.000  -3038.930       0     3       .000022
    61   2490.000  -3057.940       0     3       .000022
    62   2505.000  -3087.510       0     3       .000022
    63   2520.000  -3116.020       0     3       .000022
    64   2535.000  -3143.470       0     3       .000022
    65   2550.000  -3169.870       0     3       .000022
    66   2580.000  -3222.660       0     3       .000022
    67   2610.000  -3273.350       0     3       .000022
    68   2640.000  -3325.090       0     3       .000022
    69   2670.000  -3374.720       0     3       .000022
    70   2730.000  -3471.860       0     3       .000022
    71   2790.000  -3567.950       0     3       .000022
    72   2880.000  -3710.500       0     3       .000022
    73   2910.000  -3758.020       0     3       .000022
    74   2970.000  -3853.050       0     3       .000022
    75   3030.000  -3947.020       0     3       .000022
    76   3090.000  -4042.060       0     3       .000022
    77   3150.000  -4132.870       0     3       .000022
    78   3210.000  -4226.840       0     3       .000022
    79   3270.000  -4317.650       0     3       .000022
    80   3330.000  -4410.570       0     3       .000022
    81   3510.000  -4410.570       0     3       .000022
    82   3520.000  -4446.470       0     3       .000022
    83   3530.000  -4484.490       0     3       .000022
    84   3540.000  -4514.050       0     3       .000022
    85   3550.000  -4540.450       0     3       .000022
    86   3560.000  -4566.850       0     3       .000022
    87   3570.000  -4587.970       0     3       .000022
    88   3585.000  -4621.760       0     3       .000022
    89   3600.000  -4655.550       0     3       .000022
    90   3615.000  -4688.280       0     3       .000022
    91   3630.000  -4718.900       0     3       .000022
    92   3660.000  -4782.260       0     3       .000022
    93   3690.000  -4840.330       0     3       .000022
    94   3720.000  -4900.520       0     3       .000022
    95   3765.000  -4984.990       0     3       .000022
    96   3810.000  -5071.580       0     3       .000022
    97   3870.000  -5183.510       0     3       .000022
    98   3930.000  -5293.320       0     3       .000022
    99   3990.000  -5405.250       0     3       .000022
   100   4020.000  -5460.160       0     3       .000022
   101   4050.000  -5515.060       0     3       .000022
   102   4080.000  -5569.970       0     3       .000022
   103   4110.000  -5626.990       0     3       .000022
   104   4140.000  -5679.790       0     3       .000022
   105   4170.000  -5734.700       0     3       .000022
   106   4200.000  -5790.660       0     3       .000022
   107   4230.000  -5844.510       0     3       .000022
   108   4260.000  -5900.470       0     3       .000022
   109   4290.000  -5955.380       0     3       .000022
   110   4470.000  -5955.380       0     3       .000022
