

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .1000         .0         .0      -11.5         .0         .0         .0      -48.6
         .2000         .0         .0      -11.5         .0         .0         .0      -48.6
         .3298         .0         .0      -11.5         .0         .0         .0      -48.6
         .4984         .0         .0      -11.5         .0         .0         .0      -48.6
         .7182         .0         .0      -11.5         .0         .0         .0      -48.6
        1.0038         .0         .0      -11.5         .0         .0         .0      -48.6
        1.3721         .0         .0      -11.5         .0         .0         .0      -48.6
        1.8588         .0         .0      -11.5         .0         .0         .0      -48.6
        2.4846         .0         .0      -11.5         .0         .0         .0      -48.6
        3.3190         .0         .0      -11.5         .0         .0         .0      -48.6
        4.3809         .0         .0      -11.5         .0         .0         .0      -48.6
        5.7083         .0         .0      -11.5         .0         .0         .0      -48.6
        7.5666         .0         .0      -11.5         .0         .0         .0      -48.6
       10.0444         .0         .0      -11.5         .0         .0         .0      -48.6
       12.5222         .0         .0      -11.5         .0         .0         .0      -48.6
       15.0000         .0         .0      -11.5         .0         .0         .0      -48.6
       18.7500         .0         .0      -11.5         .0         .0         .0      -48.6
       22.5000         .0         .0      -11.5         .0         .0         .0      -48.6
       30.0000         .0         .0      -11.5         .0         .0         .0      -48.6
       35.0000         .0         .0      -11.5         .0         .0         .0      -48.6
       40.0000         .0         .0      -11.5         .0         .0         .0      -48.6
       45.0000         .0         .0      -11.5         .0         .0         .0      -48.6
       52.5000         .0         .0      -11.5         .0         .0         .0      -48.6
       60.0000         .0         .0      -11.5         .0         .0         .0      -48.6
       67.5000         .0         .0      -11.5         .0         .0         .0      -48.6
       75.0000         .0         .0      -11.5         .0         .0         .0      -48.6
       90.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      105.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      120.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      130.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      150.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      165.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      180.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      195.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      210.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      240.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      270.0000         .0         .0      -11.5         .0         .0         .0      -48.6
      300.0000         .0         .0      -11.5         .0         .0         .0      -48.6
