

  TLevel   Time         dt      Iter  ItCum

     1  .10000E+00  .10000E+00    3      3
     2  .20000E+00  .10000E+00    2      5
     3  .32982E+00  .12982E+00    2      7
     4  .49845E+00  .16862E+00    3     10
     5  .71817E+00  .21972E+00    2     12
     6  .10038E+01  .28564E+00    3     15
     7  .13721E+01  .36832E+00    2     17
     8  .18588E+01  .48671E+00    3     20
     9  .24846E+01  .62577E+00    3     23
    10  .33190E+01  .83436E+00    3     26
    11  .43809E+01  .10619E+01    3     29
    12  .57083E+01  .13274E+01    3     32
    13  .75666E+01  .18583E+01    3     35
    14  .10044E+02  .24778E+01    3     38
    15  .12522E+02  .24778E+01    3     41
    16  .15000E+02  .24778E+01    3     44
    17  .18750E+02  .37500E+01    4     48
    18  .22500E+02  .37500E+01    3     51
    19  .30000E+02  .75000E+01    4     55
    20  .35000E+02  .50000E+01    4     59
    21  .40000E+02  .50000E+01    3     62
    22  .45000E+02  .50000E+01    3     65
    23  .52500E+02  .75000E+01    4     69
    24  .60000E+02  .75000E+01    3     72
    25  .67500E+02  .75000E+01    3     75
    26  .75000E+02  .75000E+01    3     78
    27  .90000E+02  .15000E+02    4     82
    28  .10500E+03  .15000E+02    4     86
    29  .12000E+03  .15000E+02    4     90
    30  .13000E+03  .10000E+02    3     93
    31  .15000E+03  .20000E+02    4     97
    32  .16500E+03  .15000E+02    3    100
    33  .18000E+03  .15000E+02    3    103
    34  .19500E+03  .15000E+02    3    106
    35  .21000E+03  .15000E+02    3    109
    36  .24000E+03  .30000E+02    4    113
    37  .27000E+03  .30000E+02    4    117
    38  .30000E+03  .30000E+02    3    120
    39  .33000E+03  .30000E+02    3    123
    40  .36000E+03  .30000E+02    3    126
    41  .39000E+03  .30000E+02    3    129
    42  .42000E+03  .30000E+02    3    132
    43  .45000E+03  .30000E+02    3    135
    44  .48000E+03  .30000E+02    3    138
    45  .51000E+03  .30000E+02    3    141
    46  .54000E+03  .30000E+02    3    144
    47  .57000E+03  .30000E+02    3    147
