 Tension permeameter infiltration test - loam - multistep                
 
 Program HYDRUS2
 Date:   2. 3.    Time:  11: 2:51
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = -    
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .1000   .000E+00   .000E+00   .000E+00   .000E+00  -.290E+03   .000E+00   .000E+00   .000E+00   .118E+01
         .2000   .000E+00   .000E+00   .000E+00   .000E+00  -.856E+01   .000E+00   .000E+00   .000E+00   .118E+01
         .3298   .000E+00   .000E+00   .000E+00   .000E+00  -.839E+01   .000E+00   .000E+00   .000E+00   .118E+01
         .4984   .000E+00   .000E+00   .000E+00   .000E+00  -.820E+01   .000E+00   .000E+00   .000E+00   .118E+01
         .7182   .000E+00   .000E+00   .000E+00   .000E+00  -.795E+01   .000E+00   .000E+00   .000E+00   .118E+01
        1.0038   .000E+00   .000E+00   .000E+00   .000E+00  -.768E+01   .000E+00   .000E+00   .000E+00   .118E+01
        1.3721   .000E+00   .000E+00   .000E+00   .000E+00  -.734E+01   .000E+00   .000E+00   .000E+00   .118E+01
        1.8588   .000E+00   .000E+00   .000E+00   .000E+00  -.697E+01   .000E+00   .000E+00   .000E+00   .118E+01
        2.4846   .000E+00   .000E+00   .000E+00   .000E+00  -.655E+01   .000E+00   .000E+00   .000E+00   .118E+01
        3.3190   .000E+00   .000E+00   .000E+00   .000E+00  -.610E+01   .000E+00   .000E+00   .000E+00   .118E+01
        4.3809   .000E+00   .000E+00   .000E+00   .000E+00  -.562E+01   .000E+00   .000E+00   .000E+00   .118E+01
        5.7083   .000E+00   .000E+00   .000E+00   .000E+00  -.515E+01   .000E+00   .000E+00   .000E+00   .118E+01
        7.5666   .000E+00   .000E+00   .000E+00   .000E+00  -.465E+01   .000E+00   .000E+00   .000E+00   .118E+01
       10.0444   .000E+00   .000E+00   .000E+00   .000E+00  -.418E+01   .000E+00   .000E+00   .000E+00   .118E+01
       12.5222   .000E+00   .000E+00   .000E+00   .000E+00  -.384E+01   .000E+00   .000E+00   .000E+00   .118E+01
       15.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.359E+01   .000E+00   .000E+00   .000E+00   .118E+01
       18.7500   .000E+00   .000E+00   .000E+00   .000E+00  -.333E+01   .000E+00   .000E+00   .000E+00   .118E+01
       22.5000   .000E+00   .000E+00   .000E+00   .000E+00  -.313E+01   .000E+00   .000E+00   .000E+00   .118E+01
       30.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.285E+01   .000E+00   .000E+00   .000E+00   .118E+01
