 Tension permeameter infiltration test - Riverside - 10 cm, 1 run        
 
 Program HYDRUS2
 Date:  30. 6.    Time:  12:39:59
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = -    

 Max. number of iterations             21
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .000   .278    .865E-01    .265E+01    .136E-03 -3.047

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .2780   -.100E-01  -.2000E+01   .3593E-06   .1360E-03  -.3866E+01    1.0000
   .2780   -.113E-01  -.1946E+01   .4401E-06   .1360E-03  -.3866E+01    1.0000
   .2780   -.128E-01  -.1893E+01   .5392E-06   .1360E-03  -.3866E+01    1.0000
   .2780   -.145E-01  -.1839E+01   .6605E-06   .1360E-03  -.3866E+01    1.0000
   .2780   -.164E-01  -.1786E+01   .8091E-06   .1360E-03  -.3866E+01    1.0000
   .2780   -.185E-01  -.1732E+01   .9912E-06   .1360E-03  -.3866E+01    1.0000
   .2780   -.210E-01  -.1679E+01   .1214E-05   .1360E-03  -.3866E+01    1.0000
   .2780   -.237E-01  -.1625E+01   .1488E-05   .1360E-03  -.3866E+01    1.0000
   .2780   -.268E-01  -.1572E+01   .1822E-05   .1360E-03  -.3866E+01    1.0000
   .2780   -.303E-01  -.1518E+01   .2232E-05   .1360E-03  -.3866E+01    1.0000
   .2780   -.343E-01  -.1465E+01   .2735E-05   .1360E-03  -.3866E+01    1.0000
   .2780   -.388E-01  -.1411E+01   .3350E-05   .1360E-03  -.3866E+01    1.0000
   .2780   -.439E-01  -.1357E+01   .4104E-05   .1360E-03  -.3867E+01    1.0000
   .2780   -.497E-01  -.1304E+01   .5028E-05   .1360E-03  -.3867E+01    1.0000
   .2780   -.562E-01  -.1250E+01   .6159E-05   .1360E-03  -.3867E+01    1.0000
   .2780   -.636E-01  -.1197E+01   .7546E-05   .1360E-03  -.3867E+01    1.0000
   .2780   -.719E-01  -.1143E+01   .9244E-05   .1360E-03  -.3867E+01    1.0000
