 Tension permeameter infiltration test - Riverside - 10 cm, 1 run        
 
 Program HYDRUS2
 Date:  30. 6.    Time:  12:39:59
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = -    
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

       .0100   .000E+00   .000E+00   .000E+00   .000E+00  -.293E+01   .000E+00   .000E+00   .000E+00   .350E-02
       .0200   .000E+00   .000E+00   .000E+00   .000E+00  -.293E+01   .000E+00   .000E+00   .000E+00   .701E-02
       .0331   .000E+00   .000E+00   .000E+00   .000E+00  -.293E+01   .000E+00   .000E+00   .000E+00   .116E-01
       .0500   .000E+00   .000E+00   .000E+00   .000E+00  -.293E+01   .000E+00   .000E+00   .000E+00   .175E-01
       .0721   .000E+00   .000E+00   .000E+00   .000E+00  -.293E+01   .000E+00   .000E+00   .000E+00   .253E-01
       .1011   .000E+00   .000E+00   .000E+00   .000E+00  -.294E+01   .000E+00   .000E+00   .000E+00   .354E-01
       .1386   .000E+00   .000E+00   .000E+00   .000E+00  -.294E+01   .000E+00   .000E+00   .000E+00   .485E-01
       .1864   .000E+00   .000E+00   .000E+00   .000E+00  -.295E+01   .000E+00   .000E+00   .000E+00   .653E-01
       .2490   .000E+00   .000E+00   .000E+00   .000E+00  -.295E+01   .000E+00   .000E+00   .000E+00   .872E-01
       .3325   .000E+00   .000E+00   .000E+00   .000E+00  -.296E+01   .000E+00   .000E+00   .000E+00   .116E+00
       .4437   .000E+00   .000E+00   .000E+00   .000E+00  -.297E+01   .000E+00   .000E+00   .000E+00   .155E+00
       .5828   .000E+00   .000E+00   .000E+00   .000E+00  -.299E+01   .000E+00   .000E+00   .000E+00   .204E+00
       .7914   .000E+00   .000E+00   .000E+00   .000E+00  -.301E+01   .000E+00   .000E+00   .000E+00   .277E+00
      1.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.303E+01   .000E+00   .000E+00   .000E+00   .350E+00
      1.2500   .000E+00   .000E+00   .000E+00   .000E+00  -.305E+01   .000E+00   .000E+00   .000E+00   .438E+00
      1.6250   .000E+00   .000E+00   .000E+00   .000E+00  -.309E+01   .000E+00   .000E+00   .000E+00   .569E+00
      2.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.313E+01   .000E+00   .000E+00   .000E+00   .701E+00
      2.3333   .000E+00   .000E+00   .000E+00   .000E+00  -.316E+01   .000E+00   .000E+00   .000E+00   .817E+00
      3.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.322E+01   .000E+00   .000E+00   .000E+00   .105E+01
      3.5000   .000E+00   .000E+00   .000E+00   .000E+00  -.327E+01   .000E+00   .000E+00   .000E+00   .123E+01
      4.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.332E+01   .000E+00   .000E+00   .000E+00   .140E+01
