 ************************************************************************
 *                                                                      *
 *                                                                      *
 *        Tension Permeameter - Riverside data, 10cm radius, 1 run      *
 *        Cumulative infiltration                                       *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 50
 NO. OF OBSERVATIONS.................(NOBb).............1017


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .000
 SATURATED MOISTURE CONTENT..........(WCS)............      .330
 FIRST COEFFICIENT...................(ALPHA)..........      .045
 SECOND COEFFICIENT..................(N)..............     2.000
 SATURATED CONDUCTIVITY..............(CONDS).......... .1000E-03
 PORE CONECTIVITY FACTOR.............(L)..............     -.500


 Observed QUANTITY 
 ==================
    OBS     HRS     QUANTITY     TYPE  POSITION   WEIGHT
     1      1.000      -.156       0     3       .000097
     2      2.000      -.468       0     3       .000097
     3      3.000     -1.247       0     3       .000097
     4      4.000     -1.247       0     3       .000097
     5      5.000     -1.714       0     3       .000097
     6      6.000       .156       0     3       .000097
     7      7.000     -1.714       0     3       .000097
     8      8.000     -2.026       0     3       .000097
     9      9.000     -3.117       0     3       .000097
    10     10.000     -2.026       0     3       .000097
    11     11.000     -1.714       0     3       .000097
    12     12.000     -2.026       0     3       .000097
    13     13.000      -.468       0     3       .000097
    14     14.000     -1.870       0     3       .000097
    15     15.000      -.312       0     3       .000097
    16     16.000     -2.649       0     3       .000097
    17     17.000     -2.026       0     3       .000097
    18     18.000     -2.649       0     3       .000097
    19     19.000      -.779       0     3       .000097
    20     20.000     -2.805       0     3       .000097
    21     21.000     -2.338       0     3       .000097
    22     22.000     -3.273       0     3       .000097
    23     23.000     -2.338       0     3       .000097
    24     24.000     -3.117       0     3       .000097
    25     25.000     -3.273       0     3       .000097
    26     26.000     -1.870       0     3       .000097
    27     27.000     -3.740       0     3       .000097
    28     28.000     -3.273       0     3       .000097
    29     29.000     -4.519       0     3       .000097
    30     30.000     -3.896       0     3       .000097
    31     31.000     -3.273       0     3       .000097
    32     32.000     -3.117       0     3       .000097
    33     33.000     -2.182       0     3       .000097
    34     34.000     -2.649       0     3       .000097
    35     35.000     -4.052       0     3       .000097
    36     36.000     -3.117       0     3       .000097
    37     37.000     -4.052       0     3       .000097
    38     38.000     -4.675       0     3       .000097
    39     39.000     -4.052       0     3       .000097
    40     40.000     -2.026       0     3       .000097
    41     41.000     -3.428       0     3       .000097
    42     42.000     -2.961       0     3       .000097
    43     43.000     -4.052       0     3       .000097
    44     44.000     -3.896       0     3       .000097
    45     45.000     -3.428       0     3       .000097
    46     46.000     -4.987       0     3       .000097
    47     47.000     -3.740       0     3       .000097
    48     48.000     -4.675       0     3       .000097
    49     49.000     -4.987       0     3       .000097
    50     50.000     -3.117       0     3       .000097
    51     51.000     -3.428       0     3       .000097
    52     52.000     -3.740       0     3       .000097
    53     53.000     -3.584       0     3       .000097
    54     54.000     -3.584       0     3       .000097
    55     55.000     -5.299       0     3       .000097
    56     56.000     -4.519       0     3       .000097
    57     57.000     -4.987       0     3       .000097
    58     58.000     -5.454       0     3       .000097
    59     59.000     -6.701       0     3       .000097
    60     60.000     -4.831       0     3       .000097
    61     61.000     -5.143       0     3       .000097
    62     62.000     -6.234       0     3       .000097
    63     63.000     -4.987       0     3       .000097
    64     64.000     -4.208       0     3       .000097
    65     65.000     -5.610       0     3       .000097
    66     66.000     -3.584       0     3       .000097
    67     67.000     -5.766       0     3       .000097
    68     68.000     -6.078       0     3       .000097
    69     69.000     -5.454       0     3       .000097
    70     70.000     -5.610       0     3       .000097
    71     71.000     -6.545       0     3       .000097
    72     72.000     -6.078       0     3       .000097
    73     73.000     -5.143       0     3       .000097
    74     74.000     -4.987       0     3       .000097
    75     75.000     -4.675       0     3       .000097
    76     76.000     -4.987       0     3       .000097
    77     77.000     -5.766       0     3       .000097
    78     78.000     -5.922       0     3       .000097
    79     79.000     -7.013       0     3       .000097
    80     80.000     -6.701       0     3       .000097
    81     81.000     -6.078       0     3       .000097
