


                       Node(168)                     Node(188)

     time        hNew    theta    Temp         hNew    theta    Temp    
       .000    -23.989   .0770   20.000      -23.989   .0770   20.000
       .010    -23.989   .0770   20.000      -23.989   .0770   20.000
       .020    -23.989   .0770   20.000      -23.989   .0770   20.000
       .033    -23.989   .0770   20.000      -23.989   .0770   20.000
       .050    -23.989   .0770   20.000      -23.989   .0770   20.000
       .072    -23.989   .0770   20.000      -23.989   .0770   20.000
       .101    -23.989   .0770   20.000      -23.989   .0770   20.000
       .139    -23.989   .0770   20.000      -23.989   .0770   20.000
       .186    -23.989   .0770   20.000      -23.989   .0770   20.000
       .249    -23.989   .0770   20.000      -23.989   .0770   20.000
       .332    -23.989   .0770   20.000      -23.989   .0770   20.000
       .444    -23.989   .0770   20.000      -23.989   .0770   20.000
       .583    -23.989   .0770   20.000      -23.989   .0770   20.000
       .791    -23.989   .0770   20.000      -23.989   .0770   20.000
      1.000    -23.989   .0770   20.000      -23.989   .0770   20.000
      1.250    -23.989   .0770   20.000      -23.989   .0770   20.000
      1.625    -23.989   .0770   20.000      -23.989   .0770   20.000
      2.000    -23.989   .0770   20.000      -23.989   .0770   20.000
      2.333    -23.989   .0770   20.000      -23.989   .0770   20.000
      3.000    -23.989   .0770   20.000      -23.989   .0770   20.000
      3.500    -23.989   .0770   20.000      -23.989   .0770   20.000
      4.000    -23.989   .0770   20.000      -23.988   .0770   20.000
      5.000    -23.989   .0770   20.000      -23.988   .0770   20.000
      6.000    -23.989   .0770   20.000      -23.988   .0770   20.000
      7.000    -23.989   .0770   20.000      -23.988   .0770   20.000
      8.000    -23.989   .0770   20.000      -23.988   .0770   20.000
      9.000    -23.989   .0770   20.000      -23.987   .0770   20.000
     10.000    -23.989   .0770   20.000      -23.987   .0770   20.000
     11.000    -23.989   .0770   20.000      -23.986   .0770   20.000
     12.000    -23.989   .0770   20.000      -23.986   .0770   20.000
     13.000    -23.989   .0770   20.000      -23.985   .0770   20.000
     14.000    -23.989   .0770   20.000      -23.984   .0770   20.000
     15.000    -23.989   .0770   20.000      -23.984   .0770   20.000
     16.000    -23.989   .0770   20.000      -23.983   .0770   20.000
     17.000    -23.989   .0770   20.000      -23.982   .0770   20.000
     18.000    -23.989   .0770   20.000      -23.981   .0770   20.000
     19.000    -23.989   .0770   20.000      -23.980   .0770   20.000
     20.000    -23.989   .0770   20.000      -23.978   .0770   20.000
     21.000    -23.989   .0770   20.000      -23.977   .0770   20.000
     22.000    -23.989   .0770   20.000      -23.976   .0770   20.000
     23.000    -23.989   .0770   20.000      -23.974   .0770   20.000
     24.000    -23.989   .0770   20.000      -23.973   .0771   20.000
     25.000    -23.989   .0770   20.000      -23.971   .0771   20.000
     26.000    -23.989   .0770   20.000      -23.969   .0771   20.000
     27.000    -23.989   .0770   20.000      -23.967   .0771   20.000
     28.000    -23.989   .0770   20.000      -23.966   .0771   20.000
     29.000    -23.989   .0770   20.000      -23.964   .0771   20.000
     30.000    -23.989   .0770   20.000      -23.961   .0771   20.000
     31.000    -23.989   .0770   20.000      -23.959   .0771   20.000
     32.000    -23.989   .0770   20.000      -23.957   .0771   20.000
     33.000    -23.989   .0770   20.000      -23.955   .0771   20.000
     34.000    -23.989   .0770   20.000      -23.952   .0771   20.000
     35.000    -23.989   .0770   20.000      -23.950   .0771   20.000
     36.000    -23.989   .0770   20.000      -23.947   .0772   20.000
     37.000    -23.989   .0770   20.000      -23.945   .0772   20.000
     38.000    -23.989   .0770   20.000      -23.942   .0772   20.000
     39.000    -23.989   .0770   20.000      -23.939   .0772   20.000
     40.000    -23.989   .0770   20.000      -23.936   .0772   20.000
     41.000    -23.989   .0770   20.000      -23.933   .0772   20.000
     42.000    -23.989   .0770   20.000      -23.930   .0772   20.000
     43.000    -23.989   .0770   20.000      -23.927   .0772   20.000
     44.000    -23.989   .0770   20.000      -23.924   .0773   20.000
     45.000    -23.989   .0770   20.000      -23.921   .0773   20.000
     46.000    -23.989   .0770   20.000      -23.917   .0773   20.000
     47.000    -23.989   .0770   20.000      -23.914   .0773   20.000
     48.000    -23.989   .0770   20.000      -23.911   .0773   20.000
     49.000    -23.989   .0770   20.000      -23.907   .0773   20.000
     50.000    -23.989   .0770   20.000      -23.904   .0773   20.000
     51.000    -23.989   .0770   20.000      -23.900   .0774   20.000
     52.000    -23.989   .0770   20.000      -23.896   .0774   20.000
     53.000    -23.989   .0770   20.000      -23.893   .0774   20.000
     54.000    -23.989   .0770   20.000      -23.889   .0774   20.000
     55.000    -23.989   .0770   20.000      -23.885   .0774   20.000
     56.000    -23.989   .0770   20.000      -23.881   .0774   20.000
     57.000    -23.989   .0770   20.000      -23.877   .0774   20.000
     58.000    -23.989   .0770   20.000      -23.873   .0775   20.000
     59.000    -23.989   .0770   20.000      -23.869   .0775   20.000
     60.000    -23.989   .0770   20.000      -23.865   .0775   20.000
     61.000    -23.989   .0770   20.000      -23.861   .0775   20.000
     62.000    -23.989   .0770   20.000      -23.856   .0775   20.000
     63.000    -23.989   .0770   20.000      -23.852   .0776   20.000
     64.000    -23.989   .0770   20.000      -23.848   .0776   20.000
     65.000    -23.989   .0770   20.000      -23.844   .0776   20.000
     66.000    -23.989   .0770   20.000      -23.839   .0776   20.000
     67.000    -23.989   .0770   20.000      -23.835   .0776   20.000
     68.000    -23.989   .0770   20.000      -23.830   .0776   20.000
     69.000    -23.989   .0770   20.000      -23.826   .0777   20.000
     70.000    -23.989   .0770   20.000      -23.821   .0777   20.000
     71.000    -23.989   .0770   20.000      -23.817   .0777   20.000
     72.000    -23.989   .0770   20.000      -23.812   .0777   20.000
     73.000    -23.989   .0770   20.000      -23.808   .0777   20.000
     74.000    -23.989   .0770   20.000      -23.803   .0778   20.000
     75.000    -23.989   .0770   20.000      -23.798   .0778   20.000
     76.000    -23.989   .0770   20.000      -23.794   .0778   20.000
     77.000    -23.989   .0770   20.000      -23.789   .0778   20.000
     78.000    -23.989   .0770   20.000      -23.784   .0778   20.000
     79.000    -23.989   .0770   20.000      -23.779   .0779   20.000
     80.000    -23.989   .0770   20.000      -23.775   .0779   20.000
     81.000    -23.989   .0770   20.000      -23.770   .0779   20.000
     82.000    -23.989   .0770   20.000      -23.765   .0779   20.000
     83.000    -23.989   .0770   20.000      -23.760   .0779   20.000
     84.000    -23.989   .0770   20.000      -23.755   .0780   20.000
     85.000    -23.989   .0770   20.000      -23.750   .0780   20.000
     86.000    -23.989   .0770   20.000      -23.745   .0780   20.000
     87.000    -23.989   .0770   20.000      -23.741   .0780   20.000
     88.000    -23.989   .0770   20.000      -23.736   .0780   20.000
     89.000    -23.989   .0770   20.000      -23.731   .0781   20.000
     90.000    -23.989   .0770   20.000      -23.726   .0781   20.000
     91.000    -23.989   .0770   20.000      -23.721   .0781   20.000
     92.000    -23.989   .0770   20.000      -23.716   .0781   20.000
     93.000    -23.989   .0770   20.000      -23.711   .0781   20.000
     94.000    -23.989   .0770   20.000      -23.706   .0782   20.000
     95.000    -23.989   .0770   20.000      -23.701   .0782   20.000
     96.000    -23.989   .0770   20.000      -23.695   .0782   20.000
     97.000    -23.989   .0770   20.000      -23.690   .0782   20.000
     98.000    -23.989   .0770   20.000      -23.685   .0782   20.000
     99.000    -23.989   .0770   20.000      -23.680   .0783   20.000
    100.000    -23.989   .0770   20.000      -23.675   .0783   20.000
    101.000    -23.989   .0770   20.000      -23.670   .0783   20.000
    102.000    -23.989   .0770   20.000      -23.665   .0783   20.000
    103.000    -23.989   .0770   20.000      -23.660   .0784   20.000
    104.000    -23.989   .0770   20.000      -23.655   .0784   20.000
    105.000    -23.989   .0770   20.000      -23.650   .0784   20.000
    106.000    -23.989   .0770   20.000      -23.644   .0784   20.000
    107.000    -23.989   .0770   20.000      -23.639   .0784   20.000
    108.000    -23.989   .0770   20.000      -23.634   .0785   20.000
    109.000    -23.989   .0770   20.000      -23.629   .0785   20.000
    110.000    -23.989   .0770   20.000      -23.624   .0785   20.000
    111.000    -23.989   .0770   20.000      -23.620   .0785   20.000
    112.000    -23.989   .0770   20.000      -23.615   .0786   20.000
    113.000    -23.989   .0770   20.000      -23.610   .0786   20.000
    114.000    -23.989   .0770   20.000      -23.605   .0786   20.000
    115.000    -23.990   .0770   20.000      -23.599   .0786   20.000
    116.000    -23.990   .0770   20.000      -23.594   .0787   20.000
    117.000    -23.990   .0770   20.000      -23.589   .0787   20.000
    118.000    -23.990   .0770   20.000      -23.584   .0787   20.000
    119.000    -23.990   .0770   20.000      -23.579   .0788   20.000
    120.000    -23.990   .0770   20.000      -23.574   .0788   20.000
    121.000    -23.990   .0770   20.000      -23.568   .0788   20.000
    122.000    -23.990   .0770   20.000      -23.563   .0788   20.000
    123.000    -23.990   .0770   20.000      -23.558   .0789   20.000
    124.000    -23.990   .0770   20.000      -23.553   .0789   20.000
    125.000    -23.990   .0770   20.000      -23.548   .0789   20.000
    126.000    -23.990   .0770   20.000      -23.543   .0789   20.000
    127.000    -23.990   .0770   20.000      -23.538   .0790   20.000
