

  TLevel   Time         dt      Iter  ItCum

     1  .10000E-01  .10000E-01    2      2
     2  .20000E-01  .10000E-01    2      4
     3  .33067E-01  .13067E-01    2      6
     4  .50030E-01  .16964E-01    2      8
     5  .72123E-01  .22092E-01    2     10
     6  .10112E+00  .28996E-01    2     12
     7  .13857E+00  .37453E-01    2     14
     8  .18643E+00  .47857E-01    2     16
     9  .24901E+00  .62582E-01    2     18
    10  .33245E+00  .83443E-01    2     20
    11  .44371E+00  .11126E+00    2     22
    12  .58278E+00  .13907E+00    2     24
    13  .79139E+00  .20861E+00    2     26
    14  .10000E+01  .20861E+00    2     28
    15  .12500E+01  .25000E+00    2     30
    16  .16250E+01  .37500E+00    2     32
    17  .20000E+01  .37500E+00    2     34
    18  .23333E+01  .33333E+00    2     36
    19  .30000E+01  .66667E+00    2     38
    20  .35000E+01  .50000E+00    2     40
    21  .40000E+01  .50000E+00    2     42
    22  .50000E+01  .10000E+01    3     45
    23  .60000E+01  .10000E+01    3     48
    24  .70000E+01  .10000E+01    3     51
    25  .80000E+01  .10000E+01    3     54
    26  .90000E+01  .10000E+01    2     56
    27  .10000E+02  .10000E+01    3     59
    28  .11000E+02  .10000E+01    2     61
    29  .12000E+02  .10000E+01    2     63
    30  .13000E+02  .10000E+01    2     65
    31  .14000E+02  .10000E+01    2     67
    32  .15000E+02  .10000E+01    2     69
    33  .16000E+02  .10000E+01    2     71
    34  .17000E+02  .10000E+01    2     73
    35  .18000E+02  .10000E+01    2     75
    36  .19000E+02  .10000E+01    2     77
    37  .20000E+02  .10000E+01    2     79
    38  .21000E+02  .10000E+01    2     81
    39  .22000E+02  .10000E+01    2     83
    40  .23000E+02  .10000E+01    2     85
    41  .24000E+02  .10000E+01    2     87
    42  .25000E+02  .10000E+01    2     89
    43  .26000E+02  .10000E+01    2     91
    44  .27000E+02  .10000E+01    2     93
    45  .28000E+02  .10000E+01    2     95
    46  .29000E+02  .10000E+01    2     97
    47  .30000E+02  .10000E+01    2     99
    48  .31000E+02  .10000E+01    2    101
    49  .32000E+02  .10000E+01    2    103
    50  .33000E+02  .10000E+01    2    105
    51  .34000E+02  .10000E+01    2    107
    52  .35000E+02  .10000E+01    2    109
    53  .36000E+02  .10000E+01    2    111
    54  .37000E+02  .10000E+01    2    113
    55  .38000E+02  .10000E+01    2    115
    56  .39000E+02  .10000E+01    2    117
    57  .40000E+02  .10000E+01    2    119
    58  .41000E+02  .10000E+01    2    121
    59  .42000E+02  .10000E+01    2    123
    60  .43000E+02  .10000E+01    2    125
    61  .44000E+02  .10000E+01    2    127
    62  .45000E+02  .10000E+01    2    129
    63  .46000E+02  .10000E+01    2    131
    64  .47000E+02  .10000E+01    2    133
    65  .48000E+02  .10000E+01    2    135
    66  .49000E+02  .10000E+01    2    137
    67  .50000E+02  .10000E+01    2    139
    68  .51000E+02  .10000E+01    2    141
    69  .52000E+02  .10000E+01    2    143
    70  .53000E+02  .10000E+01    2    145
    71  .54000E+02  .10000E+01    2    147
    72  .55000E+02  .10000E+01    2    149
    73  .56000E+02  .10000E+01    2    151
    74  .57000E+02  .10000E+01    2    153
    75  .58000E+02  .10000E+01    2    155
    76  .59000E+02  .10000E+01    2    157
    77  .60000E+02  .10000E+01    2    159
    78  .61000E+02  .10000E+01    2    161
    79  .62000E+02  .10000E+01    2    163
    80  .63000E+02  .10000E+01    2    165
    81  .64000E+02  .10000E+01    2    167
    82  .65000E+02  .10000E+01    2    169
    83  .66000E+02  .10000E+01    2    171
    84  .67000E+02  .10000E+01    2    173
    85  .68000E+02  .10000E+01    2    175
    86  .69000E+02  .10000E+01    2    177
    87  .70000E+02  .10000E+01    2    179
    88  .71000E+02  .10000E+01    2    181
    89  .72000E+02  .10000E+01    2    183
    90  .73000E+02  .10000E+01    2    185
    91  .74000E+02  .10000E+01    2    187
    92  .75000E+02  .10000E+01    2    189
    93  .76000E+02  .10000E+01    2    191
    94  .77000E+02  .10000E+01    2    193
    95  .78000E+02  .10000E+01    2    195
    96  .79000E+02  .10000E+01    2    197
    97  .80000E+02  .10000E+01    2    199
    98  .81000E+02  .10000E+01    2    201
    99  .82000E+02  .10000E+01    2    203
   100  .83000E+02  .10000E+01    2    205
   101  .84000E+02  .10000E+01    2    207
   102  .85000E+02  .10000E+01    2    209
   103  .86000E+02  .10000E+01    2    211
   104  .87000E+02  .10000E+01    2    213
   105  .88000E+02  .10000E+01    2    215
   106  .89000E+02  .10000E+01    2    217
   107  .90000E+02  .10000E+01    2    219
   108  .91000E+02  .10000E+01    2    221
   109  .92000E+02  .10000E+01    2    223
   110  .93000E+02  .10000E+01    2    225
   111  .94000E+02  .10000E+01    2    227
   112  .95000E+02  .10000E+01    2    229
   113  .96000E+02  .10000E+01    2    231
   114  .97000E+02  .10000E+01    2    233
   115  .98000E+02  .10000E+01    2    235
   116  .99000E+02  .10000E+01    2    237
   117  .10000E+03  .10000E+01    2    239
   118  .10100E+03  .10000E+01    2    241
   119  .10200E+03  .10000E+01    2    243
   120  .10300E+03  .10000E+01    2    245
   121  .10400E+03  .10000E+01    2    247
   122  .10500E+03  .10000E+01    2    249
   123  .10600E+03  .10000E+01    2    251
   124  .10700E+03  .10000E+01    2    253
   125  .10800E+03  .10000E+01    2    255
   126  .10900E+03  .10000E+01    2    257
   127  .11000E+03  .10000E+01    2    259
   128  .11100E+03  .10000E+01    2    261
   129  .11200E+03  .10000E+01    2    263
   130  .11300E+03  .10000E+01    2    265
   131  .11400E+03  .10000E+01    2    267
   132  .11500E+03  .10000E+01    2    269
   133  .11600E+03  .10000E+01    2    271
   134  .11700E+03  .10000E+01    2    273
   135  .11800E+03  .10000E+01    2    275
   136  .11900E+03  .10000E+01    2    277
   137  .12000E+03  .10000E+01    2    279
   138  .12100E+03  .10000E+01    2    281
   139  .12200E+03  .10000E+01    2    283
   140  .12300E+03  .10000E+01    2    285
   141  .12400E+03  .10000E+01    2    287
   142  .12500E+03  .10000E+01    2    289
   143  .12600E+03  .10000E+01    2    291
   144  .12700E+03  .10000E+01    2    293
   145  .12800E+03  .10000E+01    2    295
   146  .12900E+03  .10000E+01    2    297
   147  .13000E+03  .10000E+01    2    299
   148  .13100E+03  .10000E+01    2    301
   149  .13200E+03  .10000E+01    2    303
   150  .13300E+03  .10000E+01    2    305
   151  .13400E+03  .10000E+01    2    307
   152  .13500E+03  .10000E+01    2    309
   153  .13600E+03  .10000E+01    2    311
   154  .13700E+03  .10000E+01    2    313
   155  .13800E+03  .10000E+01    2    315
   156  .13900E+03  .10000E+01    2    317
   157  .14000E+03  .10000E+01    2    319
   158  .14100E+03  .10000E+01    2    321
   159  .14200E+03  .10000E+01    2    323
   160  .14300E+03  .10000E+01    2    325
   161  .14400E+03  .10000E+01    2    327
   162  .14500E+03  .10000E+01    2    329
   163  .14600E+03  .10000E+01    2    331
   164  .14700E+03  .10000E+01    2    333
   165  .14800E+03  .10000E+01    2    335
   166  .14900E+03  .10000E+01    2    337
   167  .15000E+03  .10000E+01    2    339
   168  .15100E+03  .10000E+01    2    341
   169  .15200E+03  .10000E+01    2    343
   170  .15300E+03  .10000E+01    2    345
   171  .15400E+03  .10000E+01    2    347
   172  .15500E+03  .10000E+01    2    349
   173  .15600E+03  .10000E+01    2    351
   174  .15700E+03  .10000E+01    2    353
   175  .15800E+03  .10000E+01    2    355
   176  .15900E+03  .10000E+01    2    357
   177  .16000E+03  .10000E+01    2    359
   178  .16100E+03  .10000E+01    2    361
   179  .16200E+03  .10000E+01    2    363
   180  .16300E+03  .10000E+01    2    365
   181  .16400E+03  .10000E+01    2    367
   182  .16500E+03  .10000E+01    2    369
   183  .16600E+03  .10000E+01    2    371
   184  .16700E+03  .10000E+01    2    373
   185  .16800E+03  .10000E+01    2    375
   186  .16900E+03  .10000E+01    2    377
   187  .17000E+03  .10000E+01    2    379
   188  .17100E+03  .10000E+01    2    381
   189  .17200E+03  .10000E+01    2    383
   190  .17300E+03  .10000E+01    2    385
   191  .17400E+03  .10000E+01    2    387
   192  .17500E+03  .10000E+01    2    389
   193  .17600E+03  .10000E+01    2    391
   194  .17700E+03  .10000E+01    2    393
   195  .17800E+03  .10000E+01    2    395
   196  .17900E+03  .10000E+01    2    397
   197  .18000E+03  .10000E+01    2    399
   198  .18100E+03  .10000E+01    2    401
   199  .18200E+03  .10000E+01    2    403
   200  .18300E+03  .10000E+01    2    405
   201  .18400E+03  .10000E+01    2    407
   202  .18500E+03  .10000E+01    2    409
   203  .18600E+03  .10000E+01    2    411
   204  .18700E+03  .10000E+01    2    413
   205  .18800E+03  .10000E+01    2    415
   206  .18900E+03  .10000E+01    2    417
   207  .19000E+03  .10000E+01    2    419
   208  .19100E+03  .10000E+01    2    421
   209  .19200E+03  .10000E+01    2    423
   210  .19300E+03  .10000E+01    2    425
   211  .19400E+03  .10000E+01    2    427
   212  .19500E+03  .10000E+01    2    429
   213  .19600E+03  .10000E+01    2    431
   214  .19700E+03  .10000E+01    2    433
   215  .19800E+03  .10000E+01    2    435
   216  .19900E+03  .10000E+01    2    437
   217  .20000E+03  .10000E+01    2    439
   218  .20100E+03  .10000E+01    2    441
   219  .20200E+03  .10000E+01    2    443
   220  .20300E+03  .10000E+01    2    445
   221  .20400E+03  .10000E+01    2    447
   222  .20500E+03  .10000E+01    2    449
   223  .20600E+03  .10000E+01    2    451
   224  .20700E+03  .10000E+01    2    453
   225  .20800E+03  .10000E+01    2    455
   226  .20900E+03  .10000E+01    2    457
   227  .21000E+03  .10000E+01    2    459
   228  .21100E+03  .10000E+01    2    461
   229  .21200E+03  .10000E+01    2    463
   230  .21300E+03  .10000E+01    2    465
   231  .21400E+03  .10000E+01    2    467
   232  .21500E+03  .10000E+01    2    469
   233  .21600E+03  .10000E+01    2    471
   234  .21700E+03  .10000E+01    2    473
   235  .21800E+03  .10000E+01    2    475
   236  .21900E+03  .10000E+01    2    477
   237  .22000E+03  .10000E+01    2    479
   238  .22100E+03  .10000E+01    2    481
   239  .22200E+03  .10000E+01    2    483
   240  .22300E+03  .10000E+01    2    485
   241  .22400E+03  .10000E+01    2    487
   242  .22500E+03  .10000E+01    2    489
   243  .22600E+03  .10000E+01    2    491
   244  .22700E+03  .10000E+01    2    493
   245  .22800E+03  .10000E+01    2    495
   246  .22900E+03  .10000E+01    2    497
   247  .23000E+03  .10000E+01    2    499
   248  .23100E+03  .10000E+01    2    501
   249  .23200E+03  .10000E+01    2    503
   250  .23300E+03  .10000E+01    2    505
   251  .23400E+03  .10000E+01    2    507
   252  .23500E+03  .10000E+01    2    509
   253  .23600E+03  .10000E+01    2    511
   254  .23700E+03  .10000E+01    2    513
   255  .23800E+03  .10000E+01    2    515
   256  .23900E+03  .10000E+01    2    517
   257  .24000E+03  .10000E+01    2    519
   258  .24100E+03  .10000E+01    2    521
   259  .24200E+03  .10000E+01    2    523
   260  .24300E+03  .10000E+01    2    525
   261  .24400E+03  .10000E+01    2    527
   262  .24500E+03  .10000E+01    2    529
   263  .24600E+03  .10000E+01    2    531
   264  .24700E+03  .10000E+01    2    533
   265  .24800E+03  .10000E+01    2    535
   266  .24900E+03  .10000E+01    2    537
   267  .25000E+03  .10000E+01    2    539
