 Tension permeameter infiltration test - Riverside - 10 cm, 1 run        
 
 Program HYDRUS2
 Date:  30. 6.    Time:  12:39:59
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = -    
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

       .0100   .000E+00   .000E+00   .000E+00   .000E+00  -.293E+03   .000E+00   .000E+00   .000E+00   .350E+00
       .0200   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .0331   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .0500   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .0721   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .1011   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .1386   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .1864   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .2490   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .3325   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .350E+00
       .4437   .000E+00   .000E+00   .000E+00   .000E+00  -.999E-01   .000E+00   .000E+00   .000E+00   .350E+00
       .5828   .000E+00   .000E+00   .000E+00   .000E+00  -.997E-01   .000E+00   .000E+00   .000E+00   .350E+00
       .7914   .000E+00   .000E+00   .000E+00   .000E+00  -.995E-01   .000E+00   .000E+00   .000E+00   .350E+00
      1.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.992E-01   .000E+00   .000E+00   .000E+00   .350E+00
      1.2500   .000E+00   .000E+00   .000E+00   .000E+00  -.989E-01   .000E+00   .000E+00   .000E+00   .350E+00
      1.6250   .000E+00   .000E+00   .000E+00   .000E+00  -.984E-01   .000E+00   .000E+00   .000E+00   .350E+00
      2.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.980E-01   .000E+00   .000E+00   .000E+00   .350E+00
      2.3333   .000E+00   .000E+00   .000E+00   .000E+00  -.976E-01   .000E+00   .000E+00   .000E+00   .350E+00
      3.0000   .000E+00   .000E+00   .000E+00   .000E+00  -.968E-01   .000E+00   .000E+00   .000E+00   .350E+00
