 Inverse Problem                                                         
 
 Program HYDRUS2
 Date:   1. 7.    Time:  14:24:25
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = hours, M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]********



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .165   .370    .741E-02    .253E+01    .154E+00   .500
    2     .000   .600    .400E-03    .150E+01    .218E-03   .400

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3701   -.100E-05  -.6000E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.126E-05  -.5899E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.159E-05  -.5798E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.201E-05  -.5697E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.254E-05  -.5596E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.320E-05  -.5495E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.404E-05  -.5394E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.509E-05  -.5293E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.643E-05  -.5192E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.811E-05  -.5091E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.102E-04  -.4990E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.129E-04  -.4889E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.163E-04  -.4788E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.206E-04  -.4687E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.260E-04  -.4586E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.327E-04  -.4485E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.413E-04  -.4384E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.521E-04  -.4283E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.658E-04  -.4182E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.830E-04  -.4081E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.105E-03  -.3980E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.132E-03  -.3879E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.167E-03  -.3778E+01   .0000E+00   .1538E+00  -.8131E+00    1.0000
   .3701   -.210E-03  -.3677E+01   .3105E-11   .1538E+00  -.8131E+00    1.0000
   .3701   -.266E-03  -.3576E+01   .4430E-11   .1538E+00  -.8131E+00    1.0000
   .3701   -.335E-03  -.3475E+01   .6321E-11   .1538E+00  -.8131E+00    1.0000
   .3701   -.423E-03  -.3374E+01   .9018E-11   .1538E+00  -.8131E+00    1.0000
