 Inverse Problem                                                         
 
 Program HYDRUS2
 Date:   1. 7.    Time:  14:24:25
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = hours, M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

       .0020   .000E+00   .000E+00   .000E+00   .000E+00   .265E-02   .000E+00   .000E+00   .000E+00   .000E+00
       .0040   .000E+00   .000E+00   .000E+00   .000E+00   .452E-02   .000E+00   .000E+00   .000E+00   .000E+00
       .0066   .000E+00   .000E+00   .000E+00   .000E+00   .690E-02   .000E+00   .000E+00   .000E+00   .000E+00
       .0099   .000E+00   .000E+00   .000E+00   .000E+00   .100E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .0144   .000E+00   .000E+00   .000E+00   .000E+00   .142E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .0203   .000E+00   .000E+00   .000E+00   .000E+00   .197E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .0277   .000E+00   .000E+00   .000E+00   .000E+00   .266E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .0389   .000E+00   .000E+00   .000E+00   .000E+00   .370E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .0500   .000E+00   .000E+00   .000E+00   .000E+00   .473E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .0625   .000E+00   .000E+00   .000E+00   .000E+00   .589E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .0789   .000E+00   .000E+00   .000E+00   .000E+00   .742E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .1004   .000E+00   .000E+00   .000E+00   .000E+00   .940E-01   .000E+00   .000E+00   .000E+00   .000E+00
       .1276   .000E+00   .000E+00   .000E+00   .000E+00   .119E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .1640   .000E+00   .000E+00   .000E+00   .000E+00   .152E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .2104   .000E+00   .000E+00   .000E+00   .000E+00   .195E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .2712   .000E+00   .000E+00   .000E+00   .000E+00   .250E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .3521   .000E+00   .000E+00   .000E+00   .000E+00   .324E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .4601   .000E+00   .000E+00   .000E+00   .000E+00   .420E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .5951   .000E+00   .000E+00   .000E+00   .000E+00   .540E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .7975   .000E+00   .000E+00   .000E+00   .000E+00   .716E+00   .000E+00   .000E+00   .000E+00   .000E+00
      1.0000   .000E+00   .000E+00   .000E+00   .000E+00   .889E+00   .000E+00   .000E+00   .000E+00   .000E+00
