

     Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

       .0020         .0         .0      -36.5         .0         .0         .0         .0
       .0040         .0         .0      -36.5         .0         .0         .0         .0
       .0066         .0         .0      -36.5         .0         .0         .0         .0
       .0099         .0         .0      -36.5         .0         .0         .0         .0
       .0144         .0         .0      -36.5         .0         .0         .0         .0
       .0203         .0         .0      -36.5         .0         .0         .0         .0
       .0277         .0         .0      -36.5         .0         .0         .0         .0
       .0389         .0         .0      -36.5         .0         .0         .0         .0
       .0500         .0         .0      -36.5         .0         .0         .0         .0
       .0625         .0         .0      -36.5         .0         .0         .0         .0
       .0789         .0         .0      -36.5         .0         .0         .0         .0
       .1004         .0         .0      -36.5         .0         .0         .0         .0
       .1276         .0         .0      -36.5         .0         .0         .0         .0
       .1640         .0         .0      -36.5         .0         .0         .0         .0
       .2104         .0         .0      -36.5         .0         .0         .0         .0
       .2712         .0         .0      -36.5         .0         .0         .0         .0
       .3521         .0         .0      -36.5         .0         .0         .0         .0
       .4601         .0         .0      -36.5         .0         .0         .0         .0
       .5951         .0         .0      -36.5         .0         .0         .0         .0
       .7975         .0         .0      -36.5         .0         .0         .0         .0
      1.0000         .0         .0      -36.5         .0         .0         .0         .0
      1.2222         .0         .0      -36.5         .0         .0         .0         .0
      1.5185         .0         .0      -36.5         .0         .0         .0         .0
      1.8889         .0         .0      -36.5         .0         .0         .0         .0
      2.4444         .0         .0      -36.5         .0         .0         .0         .0
      3.0000         .0         .0      -36.5         .0         .0         .0         .0
      3.6250         .0         .0      -36.5         .0         .0         .0         .0
      4.5000         .0         .0      -36.5         .0         .0         .0         .0
      5.6667         .0         .0      -36.5         .0         .0         .0         .0
      6.8333         .0         .0      -36.5         .0         .0         .0         .0
      8.0000         .0         .0      -36.5         .0         .0         .0         .0
      9.6667         .0         .0      -36.5         .0         .0         .0         .0
     13.0000         .0         .0      -36.5         .0         .0         .0         .0
     16.3333         .0         .0      -36.5         .0         .0         .0         .0
     19.6667         .0         .0      -36.5         .0         .0         .0         .0
     23.0000         .0         .0      -36.5         .0         .0         .0         .0
     25.0000         .0         .0      -36.5         .0         .0         .0         .0
     25.0020         .0         .0      -66.5         .0         .0         .0         .0
     25.0046         .0         .0      -66.5         .0         .0         .0         .0
     25.0080         .0         .0      -66.5         .0         .0         .0         .0
     25.0124         .0         .0      -66.5         .0         .0         .0         .0
