


                       Node(122)                     Node(123)                     Node(124)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
       .000     -3.300   .3701   20.000      -21.000   .3689   20.000      -21.000   .3689   20.000
       .002     -3.300   .3701   20.000      -21.040   .3689   20.000      -21.006   .3689   20.000
       .004     -3.300   .3701   20.000      -21.065   .3689   20.000      -21.014   .3689   20.000
       .007     -3.300   .3701   20.000      -21.083   .3689   20.000      -21.023   .3689   20.000
       .010     -3.301   .3701   20.000      -21.097   .3689   20.000      -21.032   .3689   20.000
       .014     -3.304   .3701   20.000      -21.109   .3689   20.000      -21.041   .3689   20.000
       .020     -3.308   .3701   20.000      -21.120   .3689   20.000      -21.052   .3689   20.000
       .028     -3.315   .3701   20.000      -21.132   .3689   20.000      -21.063   .3689   20.000
       .039     -3.327   .3701   20.000      -21.149   .3689   20.000      -21.079   .3689   20.000
       .050     -3.340   .3701   20.000      -21.164   .3689   20.000      -21.095   .3689   20.000
       .063     -3.355   .3701   20.000      -21.181   .3689   20.000      -21.112   .3689   20.000
       .079     -3.376   .3701   20.000      -21.203   .3689   20.000      -21.134   .3689   20.000
       .100     -3.404   .3701   20.000      -21.232   .3689   20.000      -21.163   .3689   20.000
       .128     -3.439   .3701   20.000      -21.268   .3689   20.000      -21.199   .3689   20.000
       .164     -3.486   .3701   20.000      -21.315   .3689   20.000      -21.247   .3689   20.000
       .210     -3.547   .3701   20.000      -21.376   .3689   20.000      -21.307   .3689   20.000
       .271     -3.625   .3701   20.000      -21.454   .3689   20.000      -21.386   .3689   20.000
       .352     -3.728   .3701   20.000      -21.556   .3689   20.000      -21.489   .3689   20.000
       .460     -3.863   .3701   20.000      -21.690   .3688   20.000      -21.623   .3689   20.000
       .595     -4.028   .3701   20.000      -21.854   .3688   20.000      -21.788   .3688   20.000
       .798     -4.265   .3701   20.000      -22.091   .3688   20.000      -22.026   .3688   20.000
      1.000     -4.497   .3701   20.000      -22.322   .3688   20.000      -22.258   .3688   20.000
      1.222     -4.744   .3701   20.000      -22.567   .3687   20.000      -22.504   .3687   20.000
      1.519     -5.054   .3701   20.000      -22.876   .3687   20.000      -22.814   .3687   20.000
      1.889     -5.423   .3700   20.000      -23.243   .3686   20.000      -23.183   .3686   20.000
      2.444     -5.939   .3700   20.000      -23.756   .3686   20.000      -23.698   .3686   20.000
      3.000     -6.416   .3700   20.000      -24.231   .3685   20.000      -24.174   .3685   20.000
      3.625     -6.912   .3700   20.000      -24.723   .3684   20.000      -24.669   .3684   20.000
      4.500     -7.535   .3700   20.000      -25.342   .3683   20.000      -25.290   .3683   20.000
      5.667     -8.280   .3700   20.000      -26.081   .3681   20.000      -26.032   .3681   20.000
      6.833     -8.950   .3700   20.000      -26.747   .3680   20.000      -26.701   .3680   20.000
      8.000     -9.554   .3699   20.000      -27.346   .3679   20.000      -27.303   .3679   20.000
      9.667    -10.298   .3699   20.000      -28.084   .3677   20.000      -28.044   .3677   20.000
     13.000    -11.493   .3698   20.000      -29.270   .3675   20.000      -29.235   .3675   20.000
     16.333    -12.497   .3698   20.000      -30.264   .3673   20.000      -30.234   .3673   20.000
     19.667    -13.316   .3697   20.000      -31.076   .3671   20.000      -31.050   .3671   20.000
     23.000    -13.996   .3697   20.000      -31.749   .3669   20.000      -31.725   .3669   20.000
     25.000    -14.361   .3697   20.000      -32.111   .3668   20.000      -32.089   .3668   20.000
     25.002    -14.367   .3697   20.000      -32.161   .3668   20.000      -32.098   .3668   20.000
     25.005    -14.368   .3697   20.000      -32.210   .3668   20.000      -32.108   .3668   20.000
     25.008    -14.369   .3697   20.000      -32.249   .3668   20.000      -32.122   .3668   20.000
     25.012    -14.369   .3697   20.000      -32.280   .3668   20.000      -32.138   .3668   20.000
     25.018    -14.371   .3697   20.000      -32.306   .3667   20.000      -32.156   .3668   20.000
     25.026    -14.373   .3697   20.000      -32.329   .3667   20.000      -32.174   .3668   20.000
     25.035    -14.377   .3697   20.000      -32.352   .3667   20.000      -32.193   .3668   20.000
     25.048    -14.384   .3697   20.000      -32.375   .3667   20.000      -32.215   .3668   20.000
     25.064    -14.396   .3697   20.000      -32.401   .3667   20.000      -32.241   .3668   20.000
     25.085    -14.414   .3696   20.000      -32.433   .3667   20.000      -32.272   .3668   20.000
     25.113    -14.440   .3696   20.000      -32.472   .3667   20.000      -32.311   .3667   20.000
     25.149    -14.478   .3696   20.000      -32.521   .3667   20.000      -32.360   .3667   20.000
     25.195    -14.532   .3696   20.000      -32.582   .3667   20.000      -32.422   .3667   20.000
     25.256    -14.604   .3696   20.000      -32.661   .3667   20.000      -32.501   .3667   20.000
     25.334    -14.700   .3696   20.000      -32.760   .3666   20.000      -32.601   .3667   20.000
     25.437    -14.826   .3696   20.000      -32.888   .3666   20.000      -32.729   .3666   20.000
