

  TLevel   Time         dt      Iter  ItCum

     1  .20000E-02  .20000E-02    2      2
     2  .40000E-02  .20000E-02    2      4
     3  .65556E-02  .25556E-02    2      6
     4  .98974E-02  .33419E-02    2      8
     5  .14353E-01  .44558E-02    2     10
     6  .20294E-01  .59411E-02    2     12
     7  .27721E-01  .74264E-02    2     14
     8  .38860E-01  .11140E-01    2     16
     9  .50000E-01  .11140E-01    2     18
    10  .62500E-01  .12500E-01    2     20
    11  .78947E-01  .16447E-01    2     22
    12  .10037E+00  .21420E-01    2     24
    13  .12763E+00  .27262E-01    2     26
    14  .16398E+00  .36349E-01    2     28
    15  .21042E+00  .46446E-01    2     30
    16  .27116E+00  .60737E-01    2     32
    17  .35214E+00  .80982E-01    2     34
    18  .46012E+00  .10798E+00    2     36
    19  .59509E+00  .13497E+00    2     38
    20  .79754E+00  .20246E+00    2     40
    21  .10000E+01  .20246E+00    2     42
    22  .12222E+01  .22222E+00    2     44
    23  .15185E+01  .29630E+00    2     46
    24  .18889E+01  .37037E+00    2     48
    25  .24444E+01  .55556E+00    2     50
    26  .30000E+01  .55556E+00    2     52
    27  .36250E+01  .62500E+00    2     54
    28  .45000E+01  .87500E+00    2     56
    29  .56667E+01  .11667E+01    2     58
    30  .68333E+01  .11667E+01    2     60
    31  .80000E+01  .11667E+01    2     62
    32  .96667E+01  .16667E+01    2     64
    33  .13000E+02  .33333E+01    2     66
    34  .16333E+02  .33333E+01    2     68
    35  .19667E+02  .33333E+01    2     70
    36  .23000E+02  .33333E+01    2     72
    37  .25000E+02  .20000E+01    2     74
    38  .25002E+02  .20000E-02    2     76
    39  .25005E+02  .25996E-02    2     78
    40  .25008E+02  .33794E-02    2     80
    41  .25012E+02  .43947E-02    2     82
    42  .25018E+02  .57135E-02    2     84
    43  .25026E+02  .74276E-02    2     86
    44  .25035E+02  .96599E-02    2     88
    45  .25048E+02  .12549E-01    2     90
    46  .25064E+02  .16320E-01    2     92
    47  .25085E+02  .21211E-01    2     94
