 Inverse Problem                                                         
 
 Program HYDRUS2
 Date:   1. 7.    Time:  14:24:25
 Time dependent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = hours, M = mmol 
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

       .0020   .000E+00   .000E+00   .000E+00   .000E+00   .132E+01   .000E+00   .000E+00   .000E+00   .000E+00
       .0040   .000E+00   .000E+00   .000E+00   .000E+00   .935E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0066   .000E+00   .000E+00   .000E+00   .000E+00   .934E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0099   .000E+00   .000E+00   .000E+00   .000E+00   .933E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0144   .000E+00   .000E+00   .000E+00   .000E+00   .932E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0203   .000E+00   .000E+00   .000E+00   .000E+00   .931E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0277   .000E+00   .000E+00   .000E+00   .000E+00   .931E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0389   .000E+00   .000E+00   .000E+00   .000E+00   .930E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0500   .000E+00   .000E+00   .000E+00   .000E+00   .929E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0625   .000E+00   .000E+00   .000E+00   .000E+00   .928E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .0789   .000E+00   .000E+00   .000E+00   .000E+00   .926E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .1004   .000E+00   .000E+00   .000E+00   .000E+00   .924E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .1276   .000E+00   .000E+00   .000E+00   .000E+00   .922E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .1640   .000E+00   .000E+00   .000E+00   .000E+00   .919E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .2104   .000E+00   .000E+00   .000E+00   .000E+00   .915E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .2712   .000E+00   .000E+00   .000E+00   .000E+00   .910E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .3521   .000E+00   .000E+00   .000E+00   .000E+00   .904E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .4601   .000E+00   .000E+00   .000E+00   .000E+00   .896E+00   .000E+00   .000E+00   .000E+00   .000E+00
       .5951   .000E+00   .000E+00   .000E+00   .000E+00   .885E+00   .000E+00   .000E+00   .000E+00   .000E+00
