headtab,thetatab,conductab
-1.000000e+07,1.077157e-02,2.598430e-16
-5.000000e+06,1.109647e-02,1.998243e-15
-2.000000e+06,1.174483e-02,2.963423e-14
-1.500000e+06,1.201882e-02,6.910204e-14
-1.200000e+06,1.226064e-02,1.332597e-13
-1.000000e+06,1.247957e-02,2.278930e-13
-5.000000e+05,1.352370e-02,1.752540e-12
-2.000000e+05,1.560730e-02,2.599036e-11
-1.500000e+05,1.648780e-02,6.060503e-11
-1.200000e+05,1.726491e-02,1.168734e-10
-1.000000e+05,1.796847e-02,1.998696e-10
-5.000000e+04,2.132388e-02,1.537008e-09
-2.000000e+04,2.801945e-02,2.279216e-08
-1.500000e+04,3.084868e-02,5.314428e-08
-2.200000e+04,2.716948e-02,1.721759e-08
-5.000000e+03,4.638286e-02,1.346849e-06
-2.000000e+03,6.785622e-02,1.992073e-05
-1.500000e+03,7.690756e-02,4.636217e-05
-1.200000e+03,8.487906e-02,8.921136e-05
-1.000000e+03,9.207879e-02,1.521949e-04
-5.000000e+02,1.260825e-01,1.149019e-03
-2.000000e+02,1.908422e-01,1.570043e-02
-1.500000e+02,2.162075e-01,3.459523e-02
-1.200000e+02,2.372759e-01,6.271630e-02
-1.000000e+02,2.551521e-01,1.004476e-01
-9.500000e+01,2.602527e-01,1.143532e-01
-9.000000e+01,2.656501e-01,1.309047e-01
-8.500000e+01,2.713708e-01,1.507508e-01
-8.000000e+01,2.774435e-01,1.747371e-01
-7.500000e+01,2.838999e-01,2.039780e-01
-7.000000e+01,2.907748e-01,2.399598e-01
-6.500000e+01,2.981053e-01,2.846902e-01
-6.000000e+01,3.059311e-01,3.409201e-01
-5.500000e+01,3.142930e-01,4.124754e-01
-5.000000e+01,3.232316e-01,5.047678e-01
-4.500000e+01,3.327837e-01,6.255927e-01
-4.000000e+01,3.429771e-01,7.864123e-01
-3.500000e+01,3.538213e-01,1.004476e+00
-3.000000e+01,3.652925e-01,1.306451e+00
-2.500000e+01,3.773090e-01,1.734947e+00
-2.000000e+01,3.896917e-01,2.361026e+00
-1.500000e+01,4.020989e-01,3.310902e+00
-1.000000e+01,4.139186e-01,4.834271e+00
-9.500000e+00,4.150322e-01,5.035682e+00
-9.000000e+00,4.161283e-01,5.249015e+00
-8.500000e+00,4.172053e-01,5.475339e+00
-8.000000e+00,4.182616e-01,5.715872e+00
-7.500000e+00,4.192954e-01,5.972020e+00
-7.000000e+00,4.203048e-01,6.245415e+00
-6.500000e+00,4.212877e-01,6.537974e+00
-6.000000e+00,4.222418e-01,6.851978e+00
-5.500000e+00,4.231648e-01,7.190174e+00
-5.000000e+00,4.240538e-01,7.555930e+00
-4.500000e+00,4.249060e-01,7.953455e+00
-4.000000e+00,4.257178e-01,8.388131e+00
-3.500000e+00,4.264855e-01,8.867048e+00
-3.000000e+00,4.272044e-01,9.399887e+00
-2.500000e+00,4.278693e-01,1.000051e+01
-2.000000e+00,4.284734e-01,1.069009e+01
-1.500000e+00,4.290079e-01,1.150408e+01
-1.000000e+00,4.294604e-01,1.251127e+01
-9.000000e-01,4.295394e-01,1.274739e+01
-8.000000e-01,4.296142e-01,1.299944e+01
-7.000000e-01,4.296844e-01,1.327050e+01
-6.000000e-01,4.297497e-01,1.356477e+01
-5.000000e-01,4.298098e-01,1.388829e+01
-4.000000e-01,4.298641e-01,1.425030e+01
-3.000000e-01,4.299119e-01,1.466637e+01
-2.000000e-01,4.299522e-01,1.516674e+01
-1.000000e-01,4.299832e-01,1.582924e+01
0.000000e+00,4.300000e-01,1.746000e+01
